"cross_space","cross_run","p_obs","trans_rich","trans_abun","core_rich","core_abun","land_het","d","hp"
"mean","2.5%",0.1,0.28681640625,0.3135498046875,5.0887451171875,9.343994140625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.2,0.526806640625,0.6612548828125,6.9433349609375,18.6586669921875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.3,0.7325439453125,0.988232421875,7.977734375,27.940673828125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.4,0.8852294921875,1.2916259765625,8.5982177734375,37.3802734375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.5,1.029248046875,1.64609375,9.0580810546875,46.8303466796875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.6,1.1484375,1.9380615234375,9.4131591796875,56.3222412109375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.7,1.2814697265625,2.268994140625,9.6497314453125,65.6192138671875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.8,1.3729248046875,2.6321533203125,9.883935546875,75.158349609375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.9,1.471533203125,2.924658203125,10.0564697265625,84.468994140625,0.000977517106549364,"g1","0.5"
"mean","2.5%",1,1.55498046875,3.248876953125,10.198779296875,93.85576171875,0.000977517106549364,"g1","0.5"
"mean","50%",0.1,0.4208984375,0.48046875,5.38232421875,9.53564453125,0.000977517106549364,"g1","0.5"
"mean","50%",0.2,0.7470703125,0.95458984375,7.51806640625,19.0673828125,0.000977517106549364,"g1","0.5"
"mean","50%",0.3,1.0205078125,1.42822265625,8.69921875,28.55517578125,0.000977517106549364,"g1","0.5"
"mean","50%",0.4,1.2666015625,1.89599609375,9.39892578125,38.06396484375,0.000977517106549364,"g1","0.5"
"mean","50%",0.5,1.4736328125,2.369140625,9.943359375,47.552734375,0.000977517106549364,"g1","0.5"
"mean","50%",0.6,1.6435546875,2.8056640625,10.27490234375,57.1591796875,0.000977517106549364,"g1","0.5"
"mean","50%",0.7,1.7841796875,3.2685546875,10.55859375,66.65283203125,0.000977517106549364,"g1","0.5"
"mean","50%",0.8,1.91357421875,3.7119140625,10.7978515625,76.16162109375,0.000977517106549364,"g1","0.5"
"mean","50%",0.9,2.03466796875,4.17919921875,10.9736328125,85.72900390625,0.000977517106549364,"g1","0.5"
"mean","50%",1,2.15283203125,4.6494140625,11.13916015625,95.32568359375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.1,0.5478271484375,0.617724609375,5.702294921875,9.7932373046875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.2,0.9680908203125,1.2029052734375,7.9689208984375,19.4404296875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.3,1.331982421875,1.857421875,9.2929443359375,29.1507568359375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.4,1.6278076171875,2.4269287109375,10.094677734375,38.6528564453125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.5,1.93466796875,3.0815673828125,10.7177490234375,48.3531005859375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.6,2.13115234375,3.719140625,11.12578125,57.9727783203125,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.7,2.337353515625,4.2815185546875,11.4327392578125,67.7354248046875,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.8,2.5511962890625,4.9155517578125,11.6863037109375,77.4052734375,0.000977517106549364,"g1","0.5"
"mean","97.5%",0.9,2.698828125,5.502978515625,11.9015869140625,86.988818359375,0.000977517106549364,"g1","0.5"
"mean","97.5%",1,2.8487060546875,6.1186767578125,12.0982421875,96.7369384765625,0.000977517106549364,"g1","0.5"
"var","2.5%",0.1,0.525575627749267,0.647850822679924,2.80217557219117,8.53241817589962,0.000977517106549364,"g1","0.5"
"var","2.5%",0.2,1.260910389174,2.27005468463618,3.94781578861956,15.9602585838221,0.000977517106549364,"g1","0.5"
"var","2.5%",0.3,2.20178807352762,4.54470937958211,4.96659127661443,22.7733379106717,0.000977517106549364,"g1","0.5"
"var","2.5%",0.4,2.91506939512311,7.45710835834403,5.57264040353128,29.2392014191181,0.000977517106549364,"g1","0.5"
"var","2.5%",0.5,3.73664868187928,11.5546261187989,6.03928437442724,33.2493712245311,0.000977517106549364,"g1","0.5"
"var","2.5%",0.6,4.4555596285435,16.0975083575803,6.33001483458578,37.184312759653,0.000977517106549364,"g1","0.5"
"var","2.5%",0.7,5.2411653311721,20.7592606381354,6.52321087640518,40.9253043524331,0.000977517106549364,"g1","0.5"
"var","2.5%",0.8,5.90476899953415,28.3078503740148,6.87588938305688,42.9412077872984,0.000977517106549364,"g1","0.5"
"var","2.5%",0.9,6.53320754005529,33.8444480083089,7.00611730968964,43.0696535112338,0.000977517106549364,"g1","0.5"
"var","2.5%",1,7.20013428927633,41.526705189814,7.18112239296951,42.223350630804,0.000977517106549364,"g1","0.5"
"var","50%",0.1,0.729087911626344,1.00962004750122,3.1038511692021,9.15293703797043,0.000977517106549364,"g1","0.5"
"var","50%",0.2,1.69661983366935,3.06781047623411,4.56837989904081,17.4287190516557,0.000977517106549364,"g1","0.5"
"var","50%",0.3,2.6795781975501,6.02468517076002,5.68254272818915,24.7979584784335,0.000977517106549364,"g1","0.5"
"var","50%",0.4,3.7464670011608,10.0985301922959,6.52844488865469,31.8478027821053,0.000977517106549364,"g1","0.5"
"var","50%",0.5,4.76653760386119,15.0115712632881,7.08947479456867,37.7554808735032,0.000977517106549364,"g1","0.5"
"var","50%",0.6,5.70632006812072,21.3158673746029,7.58949913703568,43.6636539283969,0.000977517106549364,"g1","0.5"
"var","50%",0.7,6.54735994012708,28.3122241187072,7.9737421149499,48.4206979701246,0.000977517106549364,"g1","0.5"
"var","50%",0.8,7.29618672867791,36.8434765052236,8.22916666666667,52.0706633179069,0.000977517106549364,"g1","0.5"
"var","50%",0.9,8.12753686690494,46.0276940906036,8.49424324520406,54.74085821038,0.000977517106549364,"g1","0.5"
"var","50%",1,8.79276255498534,56.8604494096713,8.73094366675831,57.4428973454301,0.000977517106549364,"g1","0.5"
"var","97.5%",0.1,0.875188248411535,1.26877269577071,3.47267734680474,9.82778060182215,0.000977517106549364,"g1","0.5"
"var","97.5%",0.2,2.15588531643298,3.86952774182093,5.24567620509531,18.6939665286306,0.000977517106549364,"g1","0.5"
"var","97.5%",0.3,3.27199244047074,7.4863948519978,6.69010340298143,26.7349666412741,0.000977517106549364,"g1","0.5"
"var","97.5%",0.4,4.49307585685484,11.8460674028592,7.81036779081134,35.2213724951124,0.000977517106549364,"g1","0.5"
"var","97.5%",0.5,5.76785056970919,18.6573059618997,8.76053176835136,41.2750389479472,0.000977517106549364,"g1","0.5"
"var","97.5%",0.6,6.65288536989095,25.9170872663123,9.32415467203537,50.2273490957967,0.000977517106549364,"g1","0.5"
"var","97.5%",0.7,7.80734161645436,34.1655074879338,9.94686046611529,55.1422279037222,0.000977517106549364,"g1","0.5"
"var","97.5%",0.8,8.8182213150278,45.7516877443793,10.3018737017351,59.5666032091963,0.000977517106549364,"g1","0.5"
"var","97.5%",0.9,9.69407093872189,56.6391300861437,10.5887751872938,65.8691760170378,0.000977517106549364,"g1","0.5"
"var","97.5%",1,10.4981528124618,69.3387891006843,10.8672565419187,70.4025301130636,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.1,0.3038330078125,0.3399658203125,5.013525390625,9.2947265625,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.2,0.5138427734375,0.6413330078125,6.96279296875,18.626318359375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.3,0.7262939453125,0.9960693359375,7.98486328125,28.1749755859375,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.4,0.909521484375,1.327783203125,8.6564453125,37.5766845703125,0.000977517106549364,"g1","0.6"
"mean","2.5%",0.5,1.006884765625,1.5982421875,9.1280517578125,46.8587158203125,0.000977517106549364,"g1","0.6"
