"cross_space","cross_run","p_obs","comm_stat","(0,0.33]","(0.33,0.66]","(0.66,1]","land_het","d","hp"
"mean","2.5%",0.1,"rich",1.07783203125,1.8598388671875,2.43720703125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.1,"abun",1.29150390625,2.718359375,5.1334716796875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.2,"rich",0.9796142578125,1.8149169921875,4.9260009765625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.2,"abun",1.2338623046875,2.938671875,14.9458740234375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.3,"rich",0.9318603515625,1.7642822265625,6.3497802734375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.3,"abun",1.1949951171875,3.077392578125,24.7047607421875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.4,"rich",0.87685546875,1.725048828125,7.3471923828125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.4,"abun",1.1593017578125,3.1310546875,34.6316162109375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.5,"rich",0.8318359375,1.6696533203125,8.0388671875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.5,"abun",1.1358642578125,3.2557861328125,44.54365234375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.6,"rich",0.8094482421875,1.626318359375,8.6548583984375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.6,"abun",1.13974609375,3.328564453125,54.554345703125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.7,"rich",0.809033203125,1.5912841796875,9.1017578125,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.7,"abun",1.1522705078125,3.3828369140625,64.36416015625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.8,"rich",0.787890625,1.5590576171875,9.5394287109375,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.8,"abun",1.1475830078125,3.5392822265625,74.3733154296875,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.9,"rich",0.78017578125,1.54150390625,9.871337890625,0.000977517106549364,"g1","0.5"
"mean","2.5%",0.9,"abun",1.1544189453125,3.56552734375,84.3347412109375,0.000977517106549364,"g1","0.5"
"mean","2.5%",1,"rich",0.7692138671875,1.5076416015625,10.1557861328125,0.000977517106549364,"g1","0.5"
"mean","2.5%",1,"abun",1.142529296875,3.638525390625,94.219140625,0.000977517106549364,"g1","0.5"
"mean","50%",0.1,"rich",1.19384765625,2.076171875,2.544921875,0.000977517106549364,"g1","0.5"
"mean","50%",0.1,"abun",1.41796875,3.05126953125,5.4970703125,0.000977517106549364,"g1","0.5"
"mean","50%",0.2,"rich",1.07568359375,2.04638671875,5.16845703125,0.000977517106549364,"g1","0.5"
"mean","50%",0.2,"abun",1.3369140625,3.328125,15.3125,0.000977517106549364,"g1","0.5"
"mean","50%",0.3,"rich",1.009765625,1.95556640625,6.771484375,0.000977517106549364,"g1","0.5"
"mean","50%",0.3,"abun",1.3046875,3.392578125,25.3486328125,0.000977517106549364,"g1","0.5"
"mean","50%",0.4,"rich",0.97607421875,1.87890625,7.8359375,0.000977517106549364,"g1","0.5"
"mean","50%",0.4,"abun",1.283203125,3.48681640625,35.20556640625,0.000977517106549364,"g1","0.5"
"mean","50%",0.5,"rich",0.93701171875,1.8623046875,8.6396484375,0.000977517106549364,"g1","0.5"
